P_bar,phi,T_K,invT_1000K,idt_total_ms,idt_first_ms
20.0,1.0,625.0,1.600000,2.523762e+01,nan
20.0,1.0,650.0,1.538462,1.044685e+01,nan
20.0,1.0,675.0,1.481481,4.703983e+00,nan
20.0,1.0,700.0,1.428571,2.289515e+00,nan
20.0,1.0,720.0,1.388889,1.589367e+00,1.357922e+00
20.0,1.0,740.0,1.351351,1.124672e+00,8.440201e-01
20.0,1.0,760.0,1.315789,8.895694e-01,5.498514e-01
20.0,1.0,780.0,1.282051,7.838765e-01,3.758976e-01
20.0,1.0,800.0,1.250000,7.528013e-01,2.702032e-01
20.0,1.0,825.0,1.212121,7.696791e-01,1.930172e-01
20.0,1.0,850.0,1.176471,8.105393e-01,1.531049e-01
20.0,1.0,875.0,1.142857,8.543243e-01,1.417869e-01
20.0,1.0,900.0,1.111111,9.132468e-01,nan
20.0,1.0,925.0,1.081081,9.964359e-01,nan
20.0,1.0,950.0,1.052632,1.019008e+00,nan
20.0,1.0,975.0,1.025641,9.728070e-01,nan
20.0,1.0,1000.0,1.000000,8.896069e-01,nan
20.0,1.0,1050.0,0.952381,6.805938e-01,nan
20.0,1.0,1100.0,0.909091,4.691401e-01,nan
20.0,1.0,1150.0,0.869565,2.904256e-01,nan
20.0,1.0,1200.0,0.833333,1.662256e-01,nan
20.0,1.0,1250.0,0.800000,9.173683e-02,nan
20.0,1.0,1300.0,0.769231,5.057608e-02,nan
