t_s,T_K,X_CH3OCH3,X_O2,X_CH2O,X_CH3OCH2O2,X_OH,X_CO,X_CO2,X_HO2,X_H2O2
9.92506859e-09,1199.9996,6.544498e-02,1.963351e-01,1.518584e-08,6.024359e-10,1.956021e-10,7.645797e-15,3.892321e-15,1.200720e-08,5.001786e-12
1.08099092e-08,1199.9996,6.544497e-02,1.963351e-01,1.769582e-08,6.969289e-10,2.326118e-10,1.116361e-14,5.756858e-15,1.348255e-08,6.087847e-12
1.16947498e-08,1199.9996,6.544497e-02,1.963350e-01,2.035542e-08,7.966914e-10,2.723449e-10,1.577592e-14,8.221327e-15,1.501039e-08,7.301917e-12
1.31146771e-08,1199.9995,6.544496e-02,1.963350e-01,2.492037e-08,9.674328e-10,3.413611e-10,2.596792e-14,1.371368e-14,1.756515e-08,9.528554e-12
1.45346045e-08,1199.9995,6.544495e-02,1.963350e-01,2.983090e-08,1.150808e-09,4.162076e-10,4.037902e-14,2.154189e-14,2.023757e-08,1.211278e-11
1.59545318e-08,1199.9994,6.544494e-02,1.963350e-01,3.506602e-08,1.346257e-09,4.961426e-10,5.996661e-14,3.224841e-14,2.301782e-08,1.506998e-11
1.73744592e-08,1199.9994,6.544493e-02,1.963350e-01,4.060679e-08,1.553175e-09,5.804404e-10,8.574866e-14,4.641136e-14,2.589674e-08,1.841426e-11
1.87943865e-08,1199.9993,6.544492e-02,1.963350e-01,4.643592e-08,1.770891e-09,6.684053e-10,1.187941e-13,6.463919e-14,2.886587e-08,2.215851e-11
2.02143138e-08,1199.9993,6.544492e-02,1.963350e-01,5.253757e-08,1.998676e-09,7.593763e-10,1.602151e-13,8.756647e-14,3.191737e-08,2.631452e-11
2.16342412e-08,1199.9993,6.544491e-02,1.963350e-01,5.889716e-08,2.235752e-09,8.527313e-10,2.111602e-13,1.158499e-13,3.504400e-08,3.089303e-11
2.30541685e-08,1199.9992,6.544490e-02,1.963350e-01,6.550118e-08,2.481292e-09,9.478909e-10,2.728062e-13,1.501636e-13,3.823909e-08,3.590385e-11
2.56722352e-08,1199.9991,6.544488e-02,1.963350e-01,7.827674e-08,2.953288e-09,1.126317e-09,4.185540e-13,2.315564e-13,4.428946e-08,4.630556e-11
2.82903019e-08,1199.9990,6.544486e-02,1.963350e-01,9.176868e-08,3.445476e-09,1.306158e-09,6.123506e-13,3.401639e-13,5.051799e-08,5.825569e-11
3.09083685e-08,1199.9990,6.544485e-02,1.963350e-01,1.059121e-07,3.952171e-09,1.484990e-09,8.617871e-13,4.803713e-13,5.689571e-08,7.179530e-11
3.35264352e-08,1199.9989,6.544483e-02,1.963350e-01,1.206487e-07,4.467877e-09,1.660857e-09,1.174313e-12,6.564936e-13,6.339803e-08,8.695872e-11
3.61445019e-08,1199.9988,6.544481e-02,1.963349e-01,1.359259e-07,4.987487e-09,1.832214e-09,1.557105e-12,8.726970e-13,7.000407e-08,1.037745e-10
3.87625685e-08,1199.9987,6.544479e-02,1.963349e-01,1.516961e-07,5.506371e-09,1.997883e-09,2.016956e-12,1.132929e-12,7.669622e-08,1.222665e-10
4.13806352e-08,1199.9986,6.544477e-02,1.963349e-01,1.679164e-07,6.020430e-09,2.157007e-09,2.560176e-12,1.440859e-12,8.345975e-08,1.424542e-10
4.39987019e-08,1199.9986,6.544475e-02,1.963349e-01,1.845477e-07,6.526121e-09,2.309005e-09,3.192517e-12,1.799832e-12,9.028237e-08,1.643541e-10
4.66167685e-08,1199.9985,6.544473e-02,1.963349e-01,2.015545e-07,7.020482e-09,2.453516e-09,3.919118e-12,2.212832e-12,9.715375e-08,1.879793e-10
4.92348352e-08,1199.9984,6.544472e-02,1.963349e-01,2.189050e-07,7.501117e-09,2.590360e-09,4.744470e-12,2.682460e-12,1.040652e-07,2.133411e-10
5.18529019e-08,1199.9983,6.544470e-02,1.963348e-01,2.365702e-07,7.966155e-09,2.719508e-09,5.672394e-12,3.210921e-12,1.110096e-07,2.404485e-10
5.44709685e-08,1199.9983,6.544468e-02,1.963348e-01,2.545240e-07,8.414187e-09,2.841049e-09,6.706042e-12,3.800016e-12,1.179809e-07,2.693087e-10
5.70890352e-08,1199.9982,6.544466e-02,1.963348e-01,2.727428e-07,8.844217e-09,2.955162e-09,7.847900e-12,4.451153e-12,1.249742e-07,2.999278e-10
6.14139233e-08,1199.9981,6.544462e-02,1.963348e-01,3.033638e-07,9.513637e-09,3.128084e-09,9.975880e-12,5.665269e-12,1.365641e-07,3.543740e-10
