P_bar,phi,T_K,invT_1000K,idt_total_ms,idt_first_ms
10.0,1.0,625.0,1.600000,3.007739e+01,nan
10.0,1.0,650.0,1.538462,1.266290e+01,nan
10.0,1.0,675.0,1.481481,5.803600e+00,nan
10.0,1.0,700.0,1.428571,2.880578e+00,nan
10.0,1.0,720.0,1.388889,2.692607e+00,1.739302e+00
10.0,1.0,740.0,1.351351,2.283819e+00,1.103936e+00
10.0,1.0,760.0,1.315789,2.182250e+00,7.378435e-01
10.0,1.0,780.0,1.282051,2.252804e+00,5.208820e-01
10.0,1.0,800.0,1.250000,2.405258e+00,3.907074e-01
10.0,1.0,825.0,1.212121,2.607642e+00,3.038801e-01
10.0,1.0,850.0,1.176471,2.756887e+00,2.871154e-01
10.0,1.0,875.0,1.142857,2.923944e+00,nan
10.0,1.0,900.0,1.111111,3.176382e+00,nan
10.0,1.0,925.0,1.081081,3.227898e+00,nan
10.0,1.0,950.0,1.052632,3.097034e+00,nan
10.0,1.0,975.0,1.025641,2.851562e+00,nan
10.0,1.0,1000.0,1.000000,2.537182e+00,nan
10.0,1.0,1050.0,0.952381,1.796359e+00,nan
10.0,1.0,1100.0,0.909091,1.096550e+00,nan
10.0,1.0,1150.0,0.869565,6.033785e-01,nan
10.0,1.0,1200.0,0.833333,3.161344e-01,nan
10.0,1.0,1250.0,0.800000,1.645357e-01,nan
10.0,1.0,1300.0,0.769231,8.748290e-02,nan
