P_bar,phi,T_K,invT_1000K,idt_total_ms,idt_first_ms
20.0,0.5,625.0,1.600000,2.720900e+01,nan
20.0,0.5,650.0,1.538462,1.121714e+01,nan
20.0,0.5,675.0,1.481481,5.039288e+00,nan
20.0,0.5,700.0,1.428571,2.451692e+00,nan
20.0,0.5,720.0,1.388889,1.455551e+00,nan
20.0,0.5,740.0,1.351351,1.865665e+00,9.065509e-01
20.0,0.5,760.0,1.315789,1.727389e+00,5.923008e-01
20.0,0.5,780.0,1.282051,1.729595e+00,4.062317e-01
20.0,0.5,800.0,1.250000,1.797658e+00,2.926987e-01
20.0,0.5,825.0,1.212121,1.893866e+00,2.097714e-01
20.0,0.5,850.0,1.176471,1.936417e+00,1.664462e-01
20.0,0.5,875.0,1.142857,1.909815e+00,1.577550e-01
20.0,0.5,900.0,1.111111,1.882634e+00,nan
20.0,0.5,925.0,1.081081,1.951147e+00,1.933439e+00
20.0,0.5,950.0,1.052632,1.901321e+00,1.883570e+00
20.0,0.5,975.0,1.025641,1.731609e+00,1.714234e+00
20.0,0.5,1000.0,1.000000,1.507906e+00,1.491391e+00
20.0,0.5,1050.0,0.952381,1.067233e+00,nan
20.0,0.5,1100.0,0.909091,7.078201e-01,nan
20.0,0.5,1150.0,0.869565,4.334390e-01,nan
20.0,0.5,1200.0,0.833333,2.471153e-01,nan
20.0,0.5,1250.0,0.800000,1.357212e-01,nan
20.0,0.5,1300.0,0.769231,7.422729e-02,nan
