P_bar,phi,T_K,invT_1000K,idt_total_ms,idt_first_ms
20.0,2.0,625.0,1.600000,2.330625e+01,nan
20.0,2.0,650.0,1.538462,9.687819e+00,nan
20.0,2.0,675.0,1.481481,4.376441e+00,nan
20.0,2.0,700.0,1.428571,2.134067e+00,nan
20.0,2.0,720.0,1.388889,1.266110e+00,nan
20.0,2.0,740.0,1.351351,9.193370e-01,7.864367e-01
20.0,2.0,760.0,1.315789,6.695127e-01,5.116120e-01
20.0,2.0,780.0,1.282051,5.362442e-01,3.490264e-01
20.0,2.0,800.0,1.250000,4.707057e-01,2.503346e-01
20.0,2.0,825.0,1.212121,4.436169e-01,1.784872e-01
20.0,2.0,850.0,1.176471,4.504457e-01,1.410763e-01
20.0,2.0,875.0,1.142857,4.769420e-01,1.290839e-01
20.0,2.0,900.0,1.111111,5.233665e-01,nan
20.0,2.0,925.0,1.081081,5.788742e-01,nan
20.0,2.0,950.0,1.052632,6.009450e-01,nan
20.0,2.0,975.0,1.025641,5.889203e-01,nan
20.0,2.0,1000.0,1.000000,5.563801e-01,nan
20.0,2.0,1050.0,0.952381,4.544316e-01,nan
20.0,2.0,1100.0,0.909091,3.226145e-01,nan
20.0,2.0,1150.0,0.869565,1.999444e-01,nan
20.0,2.0,1200.0,0.833333,1.136715e-01,nan
20.0,2.0,1250.0,0.800000,6.227722e-02,nan
20.0,2.0,1300.0,0.769231,3.403219e-02,nan
